number,state,value_0,value_1,param_lr_gen,param_lr_disc,param_beta1,param_beta2,param_n_epochs,param_loss_generator,param_loss_discriminator,value
0,COMPLETE,3.187668800354004,42.55931091308594,0.0003363376533418413,0.00022301464472340566,0.49748584936434603,0.9963250538109976,25,mse,mse,
1,COMPLETE,3.626445770263672,22.175220489501953,0.00033267560406796784,0.00017583277799821555,0.47076439501269995,0.9926704228159456,94,mse,mse,
2,COMPLETE,3.3719749450683594,37.441650390625,0.00025063861333590596,0.0004986080170474542,0.4852676942580369,0.9931282214777362,27,mse,mse,
3,COMPLETE,3.5029296875,27.59114646911621,0.0002505516660286354,0.00038140537860308375,0.5251739462988751,0.9901660565043378,57,mse,bce,
4,COMPLETE,3.5827622413635254,24.055328369140625,0.0001039453656403768,0.000126407428084038,0.5103271574953954,0.9920226847763594,46,mse,mse,
5,COMPLETE,3.5983731746673584,24.501407623291016,0.00017373352294598258,0.0002817517580723727,0.5467947592221823,0.9974073640929947,41,mse,mse,
6,COMPLETE,3.534517765045166,25.730884552001953,0.00036749818939163287,0.00015355288213224604,0.48887381374428224,0.9925127020132231,86,mse,mse,
7,COMPLETE,3.469700336456299,29.45511245727539,0.00020612204330970767,0.00014423822559266197,0.4878456094294603,0.9954501189499909,76,mse,bce,
8,COMPLETE,2.750159502029419,71.5706558227539,0.000440020973520723,0.00010653248170472085,0.5142910392631055,0.9979280113446205,74,mse,bce,
9,COMPLETE,3.0017688274383545,60.549407958984375,0.0003655854077323554,0.00014563619979458616,0.4568172367863102,0.9930854174503235,22,mse,bce,
10,FAIL,,,0.00037140736679569633,0.0002261062095144899,0.5361653947257302,0.9920546293525778,89,mse,bce,
