number,state,value_0,value_1,param_lr_gen,param_lr_disc,param_beta1,param_beta2,param_n_epochs,param_loss_generator,param_loss_discriminator
0,COMPLETE,2.1685028076171875,10.819284439086914,0.0004702611906110375,0.00045248451039391546,0.45285586065383027,0.9915797381263328,73,mse,mse
1,COMPLETE,2.1535980701446533,10.577963829040527,0.00020314012832625678,0.0003760942578660808,0.5151412994059389,0.9955438424492146,86,mse,mse
2,COMPLETE,2.190204381942749,9.994718551635742,0.00020666528554235381,0.00035283970872436134,0.5214805422468151,0.9940566352171171,36,mse,bce
3,COMPLETE,2.1376359462738037,12.68693733215332,0.00018521787371223537,0.00030306117316589523,0.5101728618172083,0.9958520252948075,99,mse,mse
4,COMPLETE,2.1580758094787598,11.332025527954102,0.00013977024640780011,0.00038841442222887926,0.5029110005191223,0.9978976334266437,42,mse,bce
5,COMPLETE,2.0960538387298584,16.705154418945312,0.0002836055875050684,0.00025053576786469384,0.46211129193032197,0.9939141458852859,339,mse,mse
6,COMPLETE,2.2146413326263428,9.440738677978516,0.0004424521360484804,0.00018434673806743556,0.4576630331786943,0.9904378835524279,176,mse,bce
7,COMPLETE,2.1493077278137207,11.550074577331543,0.0003593815173422799,0.00015315205974171934,0.45579268270027173,0.9937768234358773,261,mse,bce
8,COMPLETE,2.1578080654144287,11.099921226501465,0.000345673317798105,0.00015114178311217445,0.5342652555155396,0.9900806495448473,126,mse,bce
9,COMPLETE,2.111677885055542,14.413782119750977,0.00045458607298598687,0.00033568657848136234,0.46130121419194564,0.9969385670432777,379,mse,bce
